group,Excellent,Good,Fair,Marginal,Poor
Atlantic Ocean (number of sites),1,26,14,5,0
Great Lakes and St. Lawrence River (number of sites),0,20,24,11,4
Hudson Bay (number of sites),6,8,25,6,0
Mackenzie River (number of sites),3,8,8,1,0
Pacific Ocean (number of sites),2,9,9,3,1
