Publisher,Board Game,Year published,Number of Players,Rating,,,,"Country,Value"
Stonemaier Games,Wingspan,2019,19623,8.11,,,,"United States,12394"
Stonemaier Games,Scythe,2016,11652,8.26,,,,"Russia,6148"
Blue Orange,Kingdomino,2016,10175,7.36,,,,"Germany (FRG),1653"
Hans im Gluck,Carcassonne,2000,9713,7.42,,,,"France,2162"
Lookout Games,Patchwork,2014,8657,7.68,,,,"United Kingdom,1214"
AEG,Tiny Towns,2019,6949,7.43,,,,"China,1131"
AEG,Love Letter,2012,6944,7.24,,,,"Soviet Union,"
Stonemaier Games,Viticulutre,2015,6896,8.11,,,,"Netherlands,1167"
Stonemaier Games,Tapestry,2019,6874,7.52,,,,"Italy,660"
Kosmos,Catan,1995,6108,7.17,,,,"Israel,1263"
CMON,Gizmos,2018,5376,7.5,,,,"Ukraine,240"
AEG,Space Base,2018,5370,7.52,,,,"Spain,814"
Hans im Gluck,Stone Age,2008,5011,7.59,,,,"Sweden,83"
CMON,Blood Rage,2015,4690,8.01,,,,"Switzerland,186"
Lookout Games,Barenpark,2017,4680,7.36,,,,"Canada,87"
Lookout Games,Isle of Skye,2015,4504,7.45,,,,"South Korea,587"
Kosmos,Lost Cities,1999,4254,7.17,,,,"Belarus,23"
Blue Orange,Photosynthesis,2017,4049,7.19,,,,"Norway,134"
Hans im Gluck,Marco Polo,2015,4016,7.92,,,,"Turkey,244"
Lookout Games,Agricola,2007,3906,7.97,,,,"South Africa,74"
AEG,Point Salad,2019,3468,7.35,,,,"Czech Republic,110"
Lookout Games,Caverna,2013,3390,8.04,,,,"Poland,3"
CMON,Rising Son,2018,3324,7.93,,,,"Belgium,12"
Kosmos,Imhotep,2016,3005,7.22,,,,"Australia,97"
Hans im Gluck,Hadara,2019,2965,7.52,,,,"Brazil,45"
Kosmos,Targi,2012,2876,7.62,,,,"Czechoslovakia,"
Stonemaier Games,Charterstone,2017,2812,7.51,,,,"North Korea,"
Blue Orange,Planet,2018,2575,6.8,,,,"Finland,58"
Hans im Gluck,Citadels,2000,2546,7.09,,,,"Uzbekistan,"
AEG,Mystic Vale,2016,2368,7.3,,,,"Japan,2"
Blue Orange,Blue Lagoon,2018,1951,7.24,,,,"Slovakia,22"
Kosmos,5-Minute Dungeon,2018,1566,7.13,,,,"Denmark,12"
CMON,The Godfather,2017,1500,7.59,,,,"Bulgaria,"
CMON,Zombicide: Black Plague,2015,1498,7.71,,,,"Austria,22"
Blue Orange,Kingdomino Duel,2019,840,7.1,,,,"Yugoslavia,"
,,,,,,,,"Jordan,77"
,,,,,,,,"UAE,72"
,,,,,,,,"Singapore,"
,,,,,,,,"Moldova,"
,,,,,,,,"Unknown supplier(s),7"
,,,,,,,,"Indonesia,102"
,,,,,,,,"Iran,10"
,,,,,,,,"Libya,"
,,,,,,,,"Romania,"
,,,,,,,,"Portugal,56"
,,,,,,,,"India,56"
,,,,,,,,"Kazakhstan,"
,,,,,,,,"Serbia,2"
,,,,,,,,"Ireland,"
,,,,,,,,"Hungary,"
,,,,,,,,"Others,77"
